task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
514	b9/b3c684	3693643.pbsha.ib.sockeye	runMatching (513)	CACHED	0	2022-04-20 23:10:43.104	6m 35s	6m 10s	112.7%	663.4 MB	8.3 GB	2.3 GB	1.1 GB
520	98/6e1af2	3693649.pbsha.ib.sockeye	runMatching (519)	CACHED	0	2022-04-20 23:14:02.765	11m 20s	10m 59s	109.0%	664.9 MB	8.3 GB	2.8 GB	1.3 GB
522	76/6998f8	3693636.pbsha.ib.sockeye	runMatching (521)	CACHED	0	2022-04-20 23:06:47.981	54m 43s	54m 30s	105.8%	972 MB	8.6 GB	3.6 GB	2.2 GB
524	21/3d99e7	3693654.pbsha.ib.sockeye	runMatching (523)	CACHED	0	2022-04-20 23:17:07.802	5m 30s	5m 18s	101.8%	650.4 MB	8.3 GB	2.2 GB	1.1 GB
528	d2/db3651	3693652.pbsha.ib.sockeye	runMatching (527)	CACHED	0	2022-04-20 23:16:02.777	30m 48s	30m 41s	101.7%	1.9 GB	9.8 GB	6 GB	4.1 GB
526	46/69af59	3693640.pbsha.ib.sockeye	runMatching (525)	CACHED	0	2022-04-20 23:08:07.748	29m 3s	28m 48s	110.8%	1.2 GB	8.9 GB	5.2 GB	3.3 GB
536	e0/bed543	3693661.pbsha.ib.sockeye	runMatching (535)	CACHED	0	2022-04-20 23:22:27.860	13m 18s	12m 57s	102.6%	662.2 MB	8.3 GB	2.7 GB	1.3 GB
531	9e/47e5b8	3693646.pbsha.ib.sockeye	runMatching (530)	CACHED	0	2022-04-20 23:13:37.765	9m 35s	9m 22s	102.3%	664.1 MB	8.3 GB	2.8 GB	1.4 GB
521	c1/20e250	3693635.pbsha.ib.sockeye	runMatching (520)	CACHED	0	2022-04-20 23:06:37.744	2h 36m 39s	2h 36m 28s	109.8%	653.6 MB	8.3 GB	2.4 GB	1.1 GB
533	50/148ab2	3693664.pbsha.ib.sockeye	runMatching (532)	CACHED	0	2022-04-20 23:23:12.835	22m 43s	22m 26s	102.1%	963.1 MB	8.6 GB	4.4 GB	2.5 GB
538	65/ee474a	3693663.pbsha.ib.sockeye	runMatching (537)	CACHED	0	2022-04-20 23:23:07.845	14m 33s	14m 11s	111.3%	659.8 MB	8.3 GB	2.8 GB	1.3 GB
