model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,name,value
,MomentMatch,,FKL,false,,4.0,8,exec_18,13,false,300012.0,Rejection,0.5502241539805887
,MomentMatch,,FKL,false,,4.0,6,exec_19,2,false,132.0,Rejection,2.510983835628873
,MomentMatch,,FKL,false,,4.0,6,exec_19,3,false,276.0,Rejection,0.530042473170001
,MomentMatch,,FKL,false,,4.0,6,exec_19,4,false,564.0,Rejection,0.8013909817814259
,MomentMatch,,FKL,false,,4.0,6,exec_19,5,false,1152.0,Rejection,0.6386898167795891
,MomentMatch,,FKL,false,,4.0,6,exec_19,6,false,2328.0,Rejection,0.6668748970714267
,MomentMatch,,FKL,false,,4.0,6,exec_19,7,false,4668.0,Rejection,0.4635403278023378
,MomentMatch,,FKL,false,,4.0,6,exec_19,8,false,9360.0,Rejection,0.5145868341658485
,MomentMatch,,FKL,false,,4.0,6,exec_19,9,false,18732.0,Rejection,0.6025001634670459
,MomentMatch,,FKL,false,,4.0,6,exec_19,10,false,37488.0,Rejection,0.5508358705424521
,MomentMatch,,FKL,false,,4.0,6,exec_19,11,false,75000.0,Rejection,0.5449388836053046
,MomentMatch,,FKL,false,,4.0,6,exec_19,12,true,150012.0,Rejection,0.5512081619812353
,MomentMatch,,FKL,false,,4.0,6,exec_19,13,false,300012.0,Rejection,0.5515882099672565
,MomentMatch,,FKL,true,,4.0,4,exec_2,1,false,120.0,Rejection,2.1820732493091457
,MomentMatch,,FKL,true,,4.0,4,exec_2,2,false,264.0,Rejection,0.8019783271503145
,MomentMatch,,FKL,true,,4.0,4,exec_2,3,false,552.0,Rejection,0.5509305091181563
,MomentMatch,,FKL,true,,4.0,4,exec_2,4,false,1128.0,Rejection,0.5736350848110248
,MomentMatch,,FKL,true,,4.0,4,exec_2,5,false,2304.0,Rejection,0.6464630807517832
,MomentMatch,,FKL,true,,4.0,4,exec_2,6,false,4656.0,Rejection,0.9726569436299051
,MomentMatch,,FKL,true,,4.0,4,exec_2,7,false,9336.0,Rejection,1.392385390263368
,MomentMatch,,FKL,true,,4.0,4,exec_2,8,false,18720.0,Rejection,0.5868378100392956
,MomentMatch,,FKL,true,,4.0,4,exec_2,9,false,37464.0,Rejection,0.5720141811706514
,MomentMatch,,FKL,true,,4.0,4,exec_2,10,false,74976.0,Rejection,0.5643383936919928
,MomentMatch,,FKL,true,,4.0,4,exec_2,11,false,150000.0,Rejection,0.5588085075078758
,MomentMatch,,FKL,true,,4.0,4,exec_2,12,true,300024.0,Rejection,0.5388753643430887
,MomentMatch,,FKL,true,,4.0,4,exec_2,13,false,600024.0,Rejection,0.5597369334449825
,MomentMatch,,FKL,false,,4.0,4,exec_20,2,false,132.0,Rejection,2.6192361484772224
,MomentMatch,,FKL,false,,4.0,4,exec_20,3,false,276.0,Rejection,0.3943222114429752
,MomentMatch,,FKL,false,,4.0,4,exec_20,4,false,564.0,Rejection,0.41984827183752016
,MomentMatch,,FKL,false,,4.0,4,exec_20,5,false,1152.0,Rejection,0.5767541251638492
,MomentMatch,,FKL,false,,4.0,4,exec_20,6,false,2328.0,Rejection,0.47385252729773164
,MomentMatch,,FKL,false,,4.0,4,exec_20,7,false,4668.0,Rejection,0.5451443310152639
,MomentMatch,,FKL,false,,4.0,4,exec_20,8,false,9360.0,Rejection,0.5577085198582801
,MomentMatch,,FKL,false,,4.0,4,exec_20,9,false,18732.0,Rejection,0.5477677589777603
,MomentMatch,,FKL,false,,4.0,4,exec_20,10,false,37488.0,Rejection,0.5624884076905333
,MomentMatch,,FKL,false,,4.0,4,exec_20,11,false,75000.0,Rejection,0.5489456702902392
,MomentMatch,,FKL,false,,4.0,4,exec_20,12,true,150012.0,Rejection,0.5444059397049701
,MomentMatch,,FKL,false,,4.0,4,exec_20,13,false,300012.0,Rejection,0.5590091443958548
,MomentMatch,,FKL,true,,4.0,1,exec_3,1,false,120.0,Rejection,2.1220644770589927
,MomentMatch,,FKL,true,,4.0,1,exec_3,2,false,264.0,Rejection,1.1112503923243877
,MomentMatch,,FKL,true,,4.0,1,exec_3,3,false,552.0,Rejection,0.8231844425987636
,MomentMatch,,FKL,true,,4.0,1,exec_3,4,false,1128.0,Rejection,0.6268608683002195
,MomentMatch,,FKL,true,,4.0,1,exec_3,5,false,2304.0,Rejection,0.7786464615323623
,MomentMatch,,FKL,true,,4.0,1,exec_3,6,false,4656.0,Rejection,0.7332989451164492
,MomentMatch,,FKL,true,,4.0,1,exec_3,7,false,9336.0,Rejection,0.8215625357610956
,MomentMatch,,FKL,true,,4.0,1,exec_3,8,false,18720.0,Rejection,0.72658109534421
,MomentMatch,,FKL,true,,4.0,1,exec_3,9,false,37464.0,Rejection,1.0542063495890304
,MomentMatch,,FKL,true,,4.0,1,exec_3,10,false,74976.0,Rejection,0.8045581448147949
,MomentMatch,,FKL,true,,4.0,1,exec_3,11,false,150000.0,Rejection,0.7451365989280685
,MomentMatch,,FKL,true,,4.0,1,exec_3,12,true,300024.0,Rejection,0.7911861616201629
,MomentMatch,,FKL,true,,4.0,1,exec_3,13,false,600024.0,Rejection,0.549773517888946
,MomentMatch,,FKL,true,,4.0,7,exec_4,1,false,120.0,Rejection,1.797949808196107
,MomentMatch,,FKL,true,,4.0,7,exec_4,2,false,264.0,Rejection,0.8403387265680572
,MomentMatch,,FKL,true,,4.0,7,exec_4,3,false,552.0,Rejection,0.8813285403591514
,MomentMatch,,FKL,true,,4.0,7,exec_4,4,false,1128.0,Rejection,0.6429403960056952
,MomentMatch,,FKL,true,,4.0,7,exec_4,5,false,2304.0,Rejection,0.5253309024415084
,MomentMatch,,FKL,true,,4.0,7,exec_4,6,false,4656.0,Rejection,0.7722724665321442
,MomentMatch,,FKL,true,,4.0,7,exec_4,7,false,9336.0,Rejection,0.8769755170596055
,MomentMatch,,FKL,true,,4.0,7,exec_4,8,false,18720.0,Rejection,0.7423528327051605
,MomentMatch,,FKL,true,,4.0,7,exec_4,9,false,37464.0,Rejection,0.9068989082223081
,MomentMatch,,FKL,true,,4.0,7,exec_4,10,false,74976.0,Rejection,0.7452660651091932
,MomentMatch,,FKL,true,,4.0,7,exec_4,11,false,150000.0,Rejection,0.5554101231660097
,MomentMatch,,FKL,true,,4.0,7,exec_4,12,true,300024.0,Rejection,0.5461460551159977
,MomentMatch,,FKL,true,,4.0,7,exec_4,13,false,600024.0,Rejection,0.551460538079558
,MomentMatch,,FKL,true,,4.0,5,exec_5,2,false,264.0,Rejection,2.3272848826823953
,MomentMatch,,FKL,true,,4.0,5,exec_5,3,false,552.0,Rejection,0.9499494381650547
,MomentMatch,,FKL,true,,4.0,5,exec_5,4,false,1128.0,Rejection,1.1897984025013746
,MomentMatch,,FKL,true,,4.0,5,exec_5,5,false,2304.0,Rejection,1.1918298771093907
,MomentMatch,,FKL,true,,4.0,5,exec_5,6,false,4656.0,Rejection,1.1158173043390585
,MomentMatch,,FKL,true,,4.0,5,exec_5,7,false,9336.0,Rejection,0.7515729891910071
,MomentMatch,,FKL,true,,4.0,5,exec_5,8,false,18720.0,Rejection,0.8278559810106542
,MomentMatch,,FKL,true,,4.0,5,exec_5,9,false,37464.0,Rejection,0.7417434313413173
,MomentMatch,,FKL,true,,4.0,5,exec_5,10,false,74976.0,Rejection,0.5562740982952312
,MomentMatch,,FKL,true,,4.0,5,exec_5,11,false,150000.0,Rejection,0.5396092026805991
,MomentMatch,,FKL,true,,4.0,5,exec_5,12,true,300024.0,Rejection,0.5535397736123454
,MomentMatch,,FKL,true,,4.0,5,exec_5,13,false,600024.0,Rejection,0.5603390270769897
,MomentMatch,,FKL,true,,4.0,2,exec_6,2,false,264.0,Rejection,1.8852763675592006
,MomentMatch,,FKL,true,,4.0,2,exec_6,3,false,552.0,Rejection,1.223309996323805
,MomentMatch,,FKL,true,,4.0,2,exec_6,4,false,1128.0,Rejection,0.8602478306680553
,MomentMatch,,FKL,true,,4.0,2,exec_6,5,false,2304.0,Rejection,0.9002942950026733
,MomentMatch,,FKL,true,,4.0,2,exec_6,6,false,4656.0,Rejection,0.7424030674057875
,MomentMatch,,FKL,true,,4.0,2,exec_6,7,false,9336.0,Rejection,1.1575280612166878
,MomentMatch,,FKL,true,,4.0,2,exec_6,8,false,18720.0,Rejection,0.7282818571476559
,MomentMatch,,FKL,true,,4.0,2,exec_6,9,false,37464.0,Rejection,0.5597850802430621
,MomentMatch,,FKL,true,,4.0,2,exec_6,10,false,74976.0,Rejection,0.5985763099914354
,MomentMatch,,FKL,true,,4.0,2,exec_6,11,false,150000.0,Rejection,0.5717908187865431
,MomentMatch,,FKL,true,,4.0,2,exec_6,12,true,300024.0,Rejection,0.5583377162574835
,MomentMatch,,FKL,true,,4.0,2,exec_6,13,false,600024.0,Rejection,0.554951852763806
,MomentMatch,,FKL,true,,4.0,8,exec_7,0,false,48.0,Rejection,1.8275677260294767
,MomentMatch,,FKL,true,,4.0,8,exec_7,1,false,120.0,Rejection,0.6846544946797186
,MomentMatch,,FKL,true,,4.0,8,exec_7,2,false,264.0,Rejection,0.9542519870553985
,MomentMatch,,FKL,true,,4.0,8,exec_7,3,false,552.0,Rejection,0.957960141370342
,MomentMatch,,FKL,true,,4.0,8,exec_7,4,false,1128.0,Rejection,0.665439644229152
,MomentMatch,,FKL,true,,4.0,8,exec_7,5,false,2304.0,Rejection,0.640061480334745
,MomentMatch,,FKL,true,,4.0,8,exec_7,6,false,4656.0,Rejection,0.7782786842059741
,MomentMatch,,FKL,true,,4.0,8,exec_7,7,false,9336.0,Rejection,1.2029800363271401
,MomentMatch,,FKL,true,,4.0,8,exec_7,8,false,18720.0,Rejection,0.5686585469834936
,MomentMatch,,FKL,true,,4.0,8,exec_7,9,false,37464.0,Rejection,0.609227544396912
,MomentMatch,,FKL,true,,4.0,8,exec_7,10,false,74976.0,Rejection,0.5619227441079047
,MomentMatch,,FKL,true,,4.0,8,exec_7,11,false,150000.0,Rejection,0.5789670921385655
,MomentMatch,,FKL,true,,4.0,8,exec_7,12,true,300024.0,Rejection,0.5545113207316352
,MomentMatch,,FKL,true,,4.0,8,exec_7,13,false,600024.0,Rejection,0.5476964194407286
,MomentMatch,,FKL,true,,4.0,3,exec_8,2,false,264.0,Rejection,2.004001054552971
,MomentMatch,,FKL,true,,4.0,3,exec_8,3,false,552.0,Rejection,0.706819539602657
,MomentMatch,,FKL,true,,4.0,3,exec_8,4,false,1128.0,Rejection,1.0251805553534477
,MomentMatch,,FKL,true,,4.0,3,exec_8,5,false,2304.0,Rejection,1.1532361262444193
,MomentMatch,,FKL,true,,4.0,3,exec_8,6,false,4656.0,Rejection,1.1417293577189642
,MomentMatch,,FKL,true,,4.0,3,exec_8,7,false,9336.0,Rejection,1.1274052278709064
,MomentMatch,,FKL,true,,4.0,3,exec_8,8,false,18720.0,Rejection,1.3067426868900875
,MomentMatch,,FKL,true,,4.0,3,exec_8,9,false,37464.0,Rejection,0.5688490472223735
,MomentMatch,,FKL,true,,4.0,3,exec_8,10,false,74976.0,Rejection,0.5496231658780207
,MomentMatch,,FKL,true,,4.0,3,exec_8,11,false,150000.0,Rejection,0.5505962007346143
,MomentMatch,,FKL,true,,4.0,3,exec_8,12,true,300024.0,Rejection,0.5636819510829668
,MomentMatch,,FKL,true,,4.0,3,exec_8,13,false,600024.0,Rejection,0.5501705217938296
,MomentMatch,,FKL,false,,4.0,2,exec_9,2,false,132.0,Rejection,2.0893345275386856
,MomentMatch,,FKL,false,,4.0,2,exec_9,3,false,276.0,Rejection,0.497081751398431
,MomentMatch,,FKL,false,,4.0,2,exec_9,4,false,564.0,Rejection,0.9037276270984933
,MomentMatch,,FKL,false,,4.0,2,exec_9,5,false,1152.0,Rejection,0.5400584853095873
,MomentMatch,,FKL,false,,4.0,2,exec_9,6,false,2328.0,Rejection,0.46264113563688214
,MomentMatch,,FKL,false,,4.0,2,exec_9,7,false,4668.0,Rejection,0.5602079059080608
,MomentMatch,,FKL,false,,4.0,2,exec_9,8,false,9360.0,Rejection,0.5379950105830034
,MomentMatch,,FKL,false,,4.0,2,exec_9,9,false,18732.0,Rejection,0.5312509502167263
,MomentMatch,,FKL,false,,4.0,2,exec_9,10,false,37488.0,Rejection,0.5796419460090805
,MomentMatch,,FKL,false,,4.0,2,exec_9,11,false,75000.0,Rejection,0.5751829628316274
,MomentMatch,,FKL,false,,4.0,2,exec_9,12,true,150012.0,Rejection,0.5483631270465348
,MomentMatch,,FKL,false,,4.0,2,exec_9,13,false,300012.0,Rejection,0.5606617661556945
