model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,dim,name,value
,MomentMatch,,FKL,true,,4.0,9,exec_11,4,false,1128.0,0,p0_MEAN,-0.3815055952074727
,MomentMatch,,FKL,true,,4.0,9,exec_11,4,false,1128.0,1,p0_SOFTPLUS_VARIANCE,-3.9405082600972765
,MomentMatch,,FKL,true,,4.0,9,exec_11,4,false,1128.0,2,p1_MEAN,3.1237704450739363
,MomentMatch,,FKL,true,,4.0,9,exec_11,4,false,1128.0,3,p1_SOFTPLUS_VARIANCE,-1.7717831349472162
,MomentMatch,,FKL,true,,4.0,9,exec_11,5,false,2304.0,0,p0_MEAN,-0.34581920812267664
,MomentMatch,,FKL,true,,4.0,9,exec_11,5,false,2304.0,1,p0_SOFTPLUS_VARIANCE,-3.5998845813397065
,MomentMatch,,FKL,true,,4.0,9,exec_11,5,false,2304.0,2,p1_MEAN,3.209503540244296
,MomentMatch,,FKL,true,,4.0,9,exec_11,5,false,2304.0,3,p1_SOFTPLUS_VARIANCE,-1.2879505975136663
,MomentMatch,,FKL,true,,4.0,9,exec_11,6,false,4656.0,0,p0_MEAN,-0.3665879472493653
,MomentMatch,,FKL,true,,4.0,9,exec_11,6,false,4656.0,1,p0_SOFTPLUS_VARIANCE,-3.533393004343788
,MomentMatch,,FKL,true,,4.0,9,exec_11,6,false,4656.0,2,p1_MEAN,3.1654969355691738
,MomentMatch,,FKL,true,,4.0,9,exec_11,6,false,4656.0,3,p1_SOFTPLUS_VARIANCE,-1.1538651761028706
,MomentMatch,,FKL,true,,4.0,9,exec_11,7,false,9336.0,0,p0_MEAN,-0.37068737635997306
,MomentMatch,,FKL,true,,4.0,9,exec_11,7,false,9336.0,1,p0_SOFTPLUS_VARIANCE,-3.6509346207924467
,MomentMatch,,FKL,true,,4.0,9,exec_11,7,false,9336.0,2,p1_MEAN,3.1313282751905698
,MomentMatch,,FKL,true,,4.0,9,exec_11,7,false,9336.0,3,p1_SOFTPLUS_VARIANCE,-1.3677191001033762
,MomentMatch,,FKL,true,,4.0,9,exec_11,8,false,18720.0,0,p0_MEAN,-0.37072869114611323
,MomentMatch,,FKL,true,,4.0,9,exec_11,8,false,18720.0,1,p0_SOFTPLUS_VARIANCE,-3.625856804855402
,MomentMatch,,FKL,true,,4.0,9,exec_11,8,false,18720.0,2,p1_MEAN,3.12371163150824
,MomentMatch,,FKL,true,,4.0,9,exec_11,8,false,18720.0,3,p1_SOFTPLUS_VARIANCE,-1.2978424313112311
,MomentMatch,,FKL,true,,4.0,9,exec_11,9,false,37464.0,0,p0_MEAN,-0.37279085400010625
,MomentMatch,,FKL,true,,4.0,9,exec_11,9,false,37464.0,1,p0_SOFTPLUS_VARIANCE,-3.5285103888517755
,MomentMatch,,FKL,true,,4.0,9,exec_11,9,false,37464.0,2,p1_MEAN,3.13359047835074
,MomentMatch,,FKL,true,,4.0,9,exec_11,9,false,37464.0,3,p1_SOFTPLUS_VARIANCE,-1.1846774146059575
,MomentMatch,,FKL,true,,4.0,9,exec_11,10,false,74976.0,0,p0_MEAN,-0.36299855529085634
,MomentMatch,,FKL,true,,4.0,9,exec_11,10,false,74976.0,1,p0_SOFTPLUS_VARIANCE,-3.6640128502473193
,MomentMatch,,FKL,true,,4.0,9,exec_11,10,false,74976.0,2,p1_MEAN,3.1458708202741175
,MomentMatch,,FKL,true,,4.0,9,exec_11,10,false,74976.0,3,p1_SOFTPLUS_VARIANCE,-1.3238921638456873
,MomentMatch,,FKL,true,,4.0,9,exec_11,11,false,150000.0,0,p0_MEAN,-0.36440304757795644
,MomentMatch,,FKL,true,,4.0,9,exec_11,11,false,150000.0,1,p0_SOFTPLUS_VARIANCE,-3.5813900148054856
,MomentMatch,,FKL,true,,4.0,9,exec_11,11,false,150000.0,2,p1_MEAN,3.1514064856826915
,MomentMatch,,FKL,true,,4.0,9,exec_11,11,false,150000.0,3,p1_SOFTPLUS_VARIANCE,-1.248745054413128
,MomentMatch,,FKL,true,,4.0,9,exec_11,12,true,300024.0,0,p0_MEAN,-0.3698911170298315
,MomentMatch,,FKL,true,,4.0,9,exec_11,12,true,300024.0,1,p0_SOFTPLUS_VARIANCE,-3.6238858873271718
,MomentMatch,,FKL,true,,4.0,9,exec_11,12,true,300024.0,2,p1_MEAN,3.125448338480566
,MomentMatch,,FKL,true,,4.0,9,exec_11,12,true,300024.0,3,p1_SOFTPLUS_VARIANCE,-1.2977480615891996
,MomentMatch,,FKL,true,,4.0,9,exec_11,13,false,600024.0,0,p0_MEAN,-0.3687741091223985
,MomentMatch,,FKL,true,,4.0,9,exec_11,13,false,600024.0,1,p0_SOFTPLUS_VARIANCE,-3.64627924363931
,MomentMatch,,FKL,true,,4.0,9,exec_11,13,false,600024.0,2,p1_MEAN,3.1326304620029277
,MomentMatch,,FKL,true,,4.0,9,exec_11,13,false,600024.0,3,p1_SOFTPLUS_VARIANCE,-1.3317573791489619
,MomentMatch,,FKL,false,,4.0,1,exec_12,2,false,132.0,0,p0_MEAN,-0.4165600207114022
,MomentMatch,,FKL,false,,4.0,1,exec_12,2,false,132.0,1,p0_SOFTPLUS_VARIANCE,-3.5471875275907285
,MomentMatch,,FKL,false,,4.0,1,exec_12,2,false,132.0,2,p1_MEAN,2.9414339175384865
,MomentMatch,,FKL,false,,4.0,1,exec_12,2,false,132.0,3,p1_SOFTPLUS_VARIANCE,-1.8434165123385688
,MomentMatch,,FKL,false,,4.0,1,exec_12,3,false,276.0,0,p0_MEAN,-0.3936111066451753
,MomentMatch,,FKL,false,,4.0,1,exec_12,3,false,276.0,1,p0_SOFTPLUS_VARIANCE,-4.031559123727274
,MomentMatch,,FKL,false,,4.0,1,exec_12,3,false,276.0,2,p1_MEAN,3.120109878593192
,MomentMatch,,FKL,false,,4.0,1,exec_12,3,false,276.0,3,p1_SOFTPLUS_VARIANCE,-1.3718092476182449
,MomentMatch,,FKL,false,,4.0,1,exec_12,4,false,564.0,0,p0_MEAN,-0.4013997881819859
,MomentMatch,,FKL,false,,4.0,1,exec_12,4,false,564.0,1,p0_SOFTPLUS_VARIANCE,-3.9419325758356414
,MomentMatch,,FKL,false,,4.0,1,exec_12,4,false,564.0,2,p1_MEAN,3.0455998109782154
,MomentMatch,,FKL,false,,4.0,1,exec_12,4,false,564.0,3,p1_SOFTPLUS_VARIANCE,-1.6772139669423365
,MomentMatch,,FKL,false,,4.0,1,exec_12,5,false,1152.0,0,p0_MEAN,-0.3856571758746158
,MomentMatch,,FKL,false,,4.0,1,exec_12,5,false,1152.0,1,p0_SOFTPLUS_VARIANCE,-3.9650345851254354
,MomentMatch,,FKL,false,,4.0,1,exec_12,5,false,1152.0,2,p1_MEAN,3.0926463660102885
,MomentMatch,,FKL,false,,4.0,1,exec_12,5,false,1152.0,3,p1_SOFTPLUS_VARIANCE,-1.664702162455352
,MomentMatch,,FKL,false,,4.0,1,exec_12,6,false,2328.0,0,p0_MEAN,-0.3601976591763664
,MomentMatch,,FKL,false,,4.0,1,exec_12,6,false,2328.0,1,p0_SOFTPLUS_VARIANCE,-3.4601933336412904
,MomentMatch,,FKL,false,,4.0,1,exec_12,6,false,2328.0,2,p1_MEAN,3.1359699520373265
,MomentMatch,,FKL,false,,4.0,1,exec_12,6,false,2328.0,3,p1_SOFTPLUS_VARIANCE,-1.11969947551448
,MomentMatch,,FKL,false,,4.0,1,exec_12,7,false,4668.0,0,p0_MEAN,-0.3680778987508921
,MomentMatch,,FKL,false,,4.0,1,exec_12,7,false,4668.0,1,p0_SOFTPLUS_VARIANCE,-3.4629027653111653
