"","model","nChains","objectiveType","antithetics","dim","essn","mean","sd","snr"
"222","CHRVariational",16,"Rejection","MCMC",-1,1,2.76467158200928,0.229231793857556,12.0605939319536
"223","CHRVariational",16,"Rejection","MCMC",0,0.5,0.273488482588109,0.249246103088479,1.09726282256467
"224","CHRVariational",16,"Rejection","MCMC",0,1,0.273488482588109,0.249246103088479,1.09726282256467
"225","CHRVariational",16,"Rejection","MCMC",1,0.5,0.145804091603571,0.14771846549318,0.987040388733948
"226","CHRVariational",16,"Rejection","MCMC",1,1,0.145804091603571,0.14771846549318,0.987040388733948
"227","CHRVariational",16,"Rejection","MCMC",2,0.5,-0.643382353611247,0.281445890556449,2.28598951059193
"228","CHRVariational",16,"Rejection","MCMC",2,1,-0.643382353611247,0.281445890556449,2.28598951059193
"229","CHRVariational",16,"Rejection","MCMC",3,0.5,-0.257915676125603,0.237869046100497,1.08427590875627
"230","CHRVariational",16,"Rejection","MCMC",3,1,-0.257915676125603,0.237869046100497,1.08427590875627
"231","CHRVariational",16,"Rejection","OFF",-1,0.5,2.81591130047714,0.171954269115726,16.3759313156804
"232","CHRVariational",16,"Rejection","OFF",-1,1,2.81591130047714,0.171954269115725,16.3759313156804
"233","CHRVariational",16,"Rejection","OFF",0,0.5,0.246676234216468,0.244038108033519,1.01081030419473
"234","CHRVariational",16,"Rejection","OFF",0,1,0.246676234216468,0.244038108033519,1.01081030419473
"235","CHRVariational",16,"Rejection","OFF",1,0.5,0.167343479414208,0.19912041416141,0.840413476031426
"236","CHRVariational",16,"Rejection","OFF",1,1,0.167343479414208,0.19912041416141,0.840413476031426
"237","CHRVariational",16,"Rejection","OFF",2,0.5,-0.664529492139374,0.22125293058814,3.00348334538623
"238","CHRVariational",16,"Rejection","OFF",2,1,-0.664529492139374,0.22125293058814,3.00348334538623
"239","CHRVariational",16,"Rejection","OFF",3,0.5,-0.256255787983263,0.191663590959173,1.33700817510953
"240","CHRVariational",16,"Rejection","OFF",3,1,-0.256255787983263,0.191663590959174,1.33700817510952
"241","CHRVariational",16,"SKL","IS",-1,0.5,1.21287526827515,0.30394021621393,3.99050603892924
"242","CHRVariational",16,"SKL","IS",-1,1,1.92662845602947,0.425005326047881,4.53318661661294
"243","CHRVariational",16,"SKL","IS",0,0.5,0.105428667794948,0.113252919295516,0.930913467403411
"244","CHRVariational",16,"SKL","IS",0,1,0.289530411803659,0.338965655256045,0.854158547670428
"245","CHRVariational",16,"SKL","IS",1,0.5,0.0720436410582453,0.0878376399210288,0.820190992415288
"246","CHRVariational",16,"SKL","IS",1,1,0.214753021859718,0.232594368897966,0.923294157451963
"247","CHRVariational",16,"SKL","IS",2,0.5,-0.146508371245958,0.131179200742616,1.11685671521523
"248","CHRVariational",16,"SKL","IS",2,1,-0.51236439378932,0.254773198128396,2.0110608084101
"249","CHRVariational",16,"SKL","IS",3,0.5,-0.0330102935821279,0.132370696124082,0.249377653428555
"250","CHRVariational",16,"SKL","IS",3,1,-0.155029294605102,0.292840241375995,0.529398875908077
"251","CHRVariational",16,"SKL","MCMC",-1,0.5,2.30940255669287,0.395534643398515,5.83868592862059
"252","CHRVariational",16,"SKL","MCMC",-1,1,2.30940255669287,0.395534643398514,5.83868592862059
"253","CHRVariational",16,"SKL","MCMC",0,0.5,0.518467317360444,0.42337314733704,1.22461077331317
"254","CHRVariational",16,"SKL","MCMC",0,1,0.518467317360444,0.423373147337041,1.22461077331317
"255","CHRVariational",16,"SKL","MCMC",1,0.5,0.349984300765213,0.409682059910492,0.854282710943404
"256","CHRVariational",16,"SKL","MCMC",1,1,0.349984300765213,0.409682059910492,0.854282710943404
"257","CHRVariational",16,"SKL","MCMC",2,0.5,-0.829197786832657,0.317439329662304,2.61214572156124
"258","CHRVariational",16,"SKL","MCMC",2,1,-0.829197786832657,0.317439329662305,2.61214572156124
"259","CHRVariational",16,"SKL","MCMC",3,0.5,-0.238568242010856,0.359280845704074,0.664016033316053
"260","CHRVariational",16,"SKL","MCMC",3,1,-0.238568242010856,0.359280845704074,0.664016033316054
"261","CHRVariational",16,"SKL","OFF",-1,0.5,2.29277117320742,0.251021206552715,9.13377481008135
"262","CHRVariational",16,"SKL","OFF",-1,1,2.29277117320742,0.251021206552717,9.1337748100813
"263","CHRVariational",16,"SKL","OFF",0,0.5,0.517711138956216,0.338927100086567,1.52749998104013
"264","CHRVariational",16,"SKL","OFF",0,1,0.517711138956216,0.338927100086568,1.52749998104012
"265","CHRVariational",16,"SKL","OFF",1,0.5,0.353943995048793,0.344626340372828,1.02703697768977
"266","CHRVariational",16,"SKL","OFF",1,1,0.353943995048793,0.344626340372827,1.02703697768977
"267","CHRVariational",16,"SKL","OFF",2,0.5,-0.837288318540581,0.182849385459079,4.57911475304335
