"","model","chain","nChains","objectiveType","antithetics","dim","essn","mean","sd","snr"
"218","CHRVariational",0,16,"Rejection","IS",2,1,-0.00722190709099491,0.017374458299578,0.415662288082403
"219","CHRVariational",0,16,"Rejection","IS",3,0.5,-0.00797392425968591,0.0279571688343183,0.28521930482094
"220","CHRVariational",0,16,"Rejection","IS",3,1,-0.00797392425968591,0.0279571688343183,0.28521930482094
"221","CHRVariational",0,16,"Rejection","MCMC",-1,0.5,0.184395289364032,0.0467241686076494,3.94646485660194
"222","CHRVariational",0,16,"Rejection","MCMC",-1,1,0.184395289364032,0.0467241686076494,3.94646485660194
"223","CHRVariational",0,16,"Rejection","MCMC",0,0.5,-0.00673449326161843,0.00958717787306481,0.702447931057897
"224","CHRVariational",0,16,"Rejection","MCMC",0,1,-0.00673449326161843,0.00958717787306481,0.702447931057897
"225","CHRVariational",0,16,"Rejection","MCMC",1,0.5,0.0050156905871619,0.00405450124167665,1.23706722188295
"226","CHRVariational",0,16,"Rejection","MCMC",1,1,0.0050156905871619,0.00405450124167665,1.23706722188295
"227","CHRVariational",0,16,"Rejection","MCMC",2,0.5,-0.00938488840691273,0.0137104071965625,0.684508364512014
"228","CHRVariational",0,16,"Rejection","MCMC",2,1,-0.00938488840691273,0.0137104071965625,0.684508364512014
"229","CHRVariational",0,16,"Rejection","MCMC",3,0.5,-0.0105822777508001,0.0207074640658771,0.511036876226586
"230","CHRVariational",0,16,"Rejection","MCMC",3,1,-0.0105822777508001,0.0207074640658771,0.511036876226586
"231","CHRVariational",0,16,"Rejection","OFF",-1,0.5,0.184172673938484,0.0603649616595927,3.05098634829029
"232","CHRVariational",0,16,"Rejection","OFF",-1,1,0.184172673938484,0.0603649616595927,3.05098634829029
"233","CHRVariational",0,16,"Rejection","OFF",0,0.5,-0.00587177053444759,0.00857386686044619,0.68484507982458
"234","CHRVariational",0,16,"Rejection","OFF",0,1,-0.00587177053444759,0.00857386686044619,0.68484507982458
"235","CHRVariational",0,16,"Rejection","OFF",1,0.5,0.00454051647648382,0.00399164706523004,1.13750449433138
"236","CHRVariational",0,16,"Rejection","OFF",1,1,0.00454051647648382,0.00399164706523004,1.13750449433138
"237","CHRVariational",0,16,"Rejection","OFF",2,0.5,-0.00940197828424923,0.0120118285690253,0.782726645674408
"238","CHRVariational",0,16,"Rejection","OFF",2,1,-0.00940197828424923,0.0120118285690253,0.782726645674408
"239","CHRVariational",0,16,"Rejection","OFF",3,0.5,-0.0108404666668222,0.0179729137331656,0.603155772501051
"240","CHRVariational",0,16,"Rejection","OFF",3,1,-0.0108404666668222,0.0179729137331656,0.603155772501051
"241","CHRVariational",0,16,"SKL","IS",-1,0.5,0.129010183621419,0.129680379292678,0.994831942388551
"242","CHRVariational",0,16,"SKL","IS",-1,1,0.129010183621419,0.129680379292678,0.994831942388551
"243","CHRVariational",0,16,"SKL","IS",0,0.5,-0.00813348798974493,0.0292171846744003,0.278380277921554
"244","CHRVariational",0,16,"SKL","IS",0,1,-0.00813348798974493,0.0292171846744003,0.278380277921554
"245","CHRVariational",0,16,"SKL","IS",1,0.5,0.00649032216469763,0.00994880681371967,0.652371916172631
"246","CHRVariational",0,16,"SKL","IS",1,1,0.00649032216469763,0.00994880681371968,0.652371916172631
"247","CHRVariational",0,16,"SKL","IS",2,0.5,-0.0102940345563163,0.0319537545415388,0.322154147580198
